Studie;;1213;1314;1415;1516;1617;;;;;;;
TU Delft Alles F;;895;1019;1172;1249;1564;;;;;;;
TU Delft Alles M;;2716;2930;3073;3460;3464;;;;;;;
TU Delft BA F;;586;675;775;766;951;;;;;;;
TU Delft BA M;;1980;2201;2143;2265;2313;;;;;;;
TU Delft MA F;;309;344;397;483;613;;;;;;;
TU Delft MA M;;736;729;930;1195;1151;;;;;;;
UvA BA FNWI F;;1180;1381;1459;1511;1574;;;;;;;
UvA BA FNWI M;;1593;1889;2061;2146;2239;;;;;;;
UvA MA FNWI F;;520;629;702;751;883;;;;;;;
UvA MA FNWI M;;829;971;1053;1140;1287;;;;;;;
UvA BA Geesteswetenschappen F;;3051;2935;2719;2454;2359;;;;;;;
UvA BA Geesteswetenschappen M;;1850;1885;1730;1621;1572;;;;;;;
UvA MA Geesteswetenschappen F;;1338;1344;1286;1271;1268;;;;;;;
UvA MA Geesteswetenschappen M;;716;759;748;756;735;;;;;;;
UvA Staf FNWI F;;182;185;209;251;280;;;;;;;
UvA Staf FNWI M;;494;520;565;605;612;;;;;;;
UvA Staf ALLES F;;1064;1069;1110;1161;1215;;;;;;;
UvA Staf ALLES M;;1433;1477;1527;1572;1583;;;;;;;